Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct,Status
1789434785,204884089,33,0,0,0,0.00,0.75,OK
1789434786,204886393,52,0,0,0,0.00,1.26,OK
1789434787,204884218,65,1,1,0,0.00,1.01,OK
1789434788,204876365,40,0,0,0,0.00,1.01,OK
1789434789,204880544,42,0,0,0,0.00,0.75,OK
1789434790,204905973,37,0,0,0,0.00,0.51,OK
1789434791,204892703,38,0,0,0,0.00,0.75,OK
1789434792,204892299,37,0,0,0,0.00,1.00,OK
1789434793,204880071,32,0,0,0,0.00,0.75,OK
1789434794,204889094,37,0,0,0,0.00,0.25,OK
1789434795,204893793,34,0,0,0,0.00,1.50,OK
1789434796,204893233,25,0,0,0,0.00,0.50,OK
1789434797,204896891,41,0,0,0,0.00,0.50,OK
1789434798,204889663,40,1,1,0,0.00,1.01,OK
1789434799,204898633,31,0,0,0,0.00,1.00,OK
1789434800,204884166,52,0,0,0,0.00,1.01,OK
1789434801,204885637,36,0,0,0,0.00,1.00,OK
1789434802,204886430,46,0,0,0,0.00,1.50,OK
1789434803,204892692,49,0,0,0,0.00,0.76,OK
1789434804,204881142,39,0,0,0,0.00,0.76,OK
1789434805,204881414,34,2,1,0,0.00,1.00,OK
1789434806,204884551,33,0,0,0,0.00,0.75,OK
1789434807,204883782,36,0,0,0,0.00,0.50,OK
1789434808,204878586,47,0,1,0,0.00,1.26,OK
1789434809,204879379,33,0,0,0,0.00,0.50,OK
1789434810,204875381,37,0,0,0,0.00,0.75,OK
1789434811,204906643,46,0,0,0,0.00,1.26,OK
1789434812,204898322,44,1,1,0,0.00,0.51,OK
1789434813,204883751,47,0,1,0,0.00,1.50,OK
1789434814,204897982,52,1,1,0,0.00,1.01,OK
1789434815,204896379,31,0,0,0,0.00,0.75,OK
1789434816,204891027,35,0,0,0,0.00,0.76,OK
1789434817,204892080,48,1,1,0,0.00,1.01,OK
1789434818,204877509,40,0,0,0,0.00,1.01,OK
1789434819,204896219,30,0,0,0,0.00,0.50,OK
1789434820,204884356,39,0,0,0,0.00,0.76,OK
1789434821,204876035,35,0,0,0,0.00,0.75,OK
1789434822,204881568,36,0,0,0,0.00,0.50,OK
1789434823,204925851,31,0,0,0,0.00,0.75,OK
1789434824,204876280,34,1,1,0,0.00,0.50,OK
1789434825,204888948,38,0,0,0,0.00,1.25,OK
1789434826,204893856,35,0,1,0,0.00,1.25,OK
1789434827,204929858,29,0,0,0,0.00,0.75,OK
1789434828,204887943,39,1,1,0,0.00,0.75,OK
1789434829,204881965,55,0,0,0,0.00,1.50,OK
1789434830,204881873,47,0,0,0,0.00,1.01,OK
1789434831,204894385,29,1,1,0,0.00,0.75,OK
1789434832,204895595,36,0,0,0,0.00,0.76,OK
1789434833,204887639,45,0,0,0,0.00,1.50,OK
1789434834,204888067,39,1,0,0,0.00,0.25,OK
1789434835,204898236,39,0,0,0,0.00,1.25,OK
1789434836,204895488,30,1,1,0,0.00,0.50,OK
1789434837,204898364,29,0,0,0,0.00,0.50,OK
1789434838,204901970,36,1,1,0,0.00,0.51,OK
1789434839,204892607,42,1,1,0,0.00,0.76,OK
1789434840,204889078,40,1,1,0,0.00,0.75,OK
1789434841,204895392,37,0,0,0,0.00,0.50,OK
1789434842,204883477,26,0,0,0,0.00,0.25,OK
1789434843,204883437,11,0,0,0,0.00,0.50,OK
1789434844,204882407,30,1,1,0,0.00,0.50,OK
1789434845,204892420,36,0,0,0,0.00,0.76,OK
1789434846,204884984,62,0,0,0,0.00,0.76,OK
1789434847,204899527,75,0,0,0,0.00,1.01,OK
1789434848,204893706,32,0,0,0,0.00,0.25,OK
1789434849,204892676,40,0,0,0,0.00,0.76,OK
1789434850,204893261,36,0,0,0,0.00,1.00,OK
1789434851,204897857,38,0,0,0,0.00,0.50,OK
1789434852,204894848,36,0,0,0,0.00,0.75,OK
1789434853,204897569,40,0,0,0,0.00,0.51,OK
1789434854,204895341,49,0,0,0,0.00,1.25,OK
1789434855,204894051,36,0,0,0,0.00,0.00,OK
1789434856,204896303,37,0,0,0,0.00,1.76,OK
1789434857,204953346,34,0,0,0,0.00,1.50,OK
1789434858,204894452,39,0,0,0,0.00,0.76,OK
1789434859,204896652,37,1,1,0,0.00,0.75,OK
1789434860,204892081,51,1,1,0,0.00,1.01,OK
1789434861,204892770,39,0,0,0,0.00,1.25,OK
1789434862,204897053,42,0,0,0,0.00,0.25,OK
1789434863,204878784,42,0,0,0,0.00,0.76,OK
1789434864,204874629,35,0,0,0,0.00,0.50,OK
1789434865,204879069,32,1,1,0,0.00,0.50,OK
1789434866,204883352,30,0,0,0,0.00,0.50,OK
1789434867,204894197,26,0,0,0,0.00,0.75,OK
1789434868,204896918,33,0,0,0,0.00,1.00,OK
1789434869,204896826,49,0,0,0,0.00,1.25,OK
1789434870,204895067,42,0,0,0,0.00,1.01,OK
1789434871,204895600,49,0,0,0,0.00,1.01,OK
1789434872,204894987,45,0,0,0,0.00,0.51,OK
1789434873,204892603,60,0,0,0,0.00,1.75,OK
1789434874,204874855,44,1,1,0,0.00,1.01,OK
